0	калош
80	Авдотья
84	затратили
119	Пищик
120	Желаю
126	таких
132	Какая
144	войдя
149	открыта
157	сверх
170	Прохожий
172	твоих
176	клянусь
179	кончике
182	братцы
193	Страшно
204	губернии
205	узлы
217	середину
219	кивает
225	Зачем
233	шутник
281	рассыпала
295	Взгляните
313	вместе
314	Пищику
321	перенесла
340	собака
359	спросить
379	сидят
395	сидя
411	звуки
417	строить
432	заботами
452	понимать
468	несколько
501	уезжать
512	твоя
518	бьется
526	госпожа
562	чистота
566	белую
570	потягивается
573	жизнь
664	томах
672	цель
673	Читал
676	лично
692	Дорога
718	похорошела
719	сплю
727	досада
729	страдающий
732	через
743	место
780	Ментоны
797	воображения
804	аптекарь
833	гляди
845	потом
871	семь
900	пачулями
926	вальса
929	купить
939	сенате
965	летом
970	Вперед
986	физиономий
1003	богатые
1019	дохода
1049	нисколько
1052	каких
1073	одиноко
1099	крикнуть
1109	Сверх
1154	студент
1166	шляпой
1173	уйду
1175	ведет
1186	сказал
1198	господи
1235	везет
1241	после
1253	часам
1255	хожу
1265	живет
1276	пряжку
1287	насекомое
1322	небесные
1323	богатым
1348	Коньячком
1361	смеюсь
1376	город
1393	лошадиное
1413	уеду
1456	входят
1465	удар
1468	медикаменты
1469	топором
1511	Кладу
1536	Готов
1556	Через
1610	комплекции
1623	работает
1628	поставленную
1642	Счастливо
1652	великий
1694	дорого
1695	камень
1704	свиданция
1707	смех
1725	salto
1733	пошла
1747	самую
1771	богатый
1772	спать
1782	смешной
1806	Конец
1807	запивает
1823	усаживаются
1855	спит
1857	чему
1892	застрелиться
1914	Merci
1931	поехала
1945	Голодная
1949	позвольте
1998	скажем
2012	водку
2031	испугался
2046	перед
2054	уходит
2076	канделябры
2079	тем
2093	полу
2114	Идет
2123	Смех
2133	Зову
2135	рабочие
2139	сем
2145	слышны
2159	принес
2160	дачники
2169	выпустить
2177	плеч
2186	Знаешь
2202	уложила
2246	маму
2259	чем
2260	напугал
2270	говорили
2275	жадностью
2280	хорошо
2291	придет
2293	Приеду
2319	всему
2342	дому
2344	очках
2350	Восемь
2362	варенье
2379	сам
2387	купит
2396	получи
2449	плач
2461	зиму
2465	Чему
2469	философ
2486	безумно
2487	неодушевленный
2493	выпит
2499	купец
2509	залу
2563	чай
2567	Хожу
2582	грохотом
2627	богу
2647	ничтожество
2654	дает
2657	становится
2664	хороши
2668	пятое
2670	моих
2700	ждет
2702	отсюда
2712	квас
